"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","collectDate","ovenStartDate","ovenEndDate","sampleCondition","cnSampleID","ligninSampleID","archiveSampleID","processedBy","remarks","dataQF"
"a10d8ee9-09f8-4b73-acd6-16d831674897","ORNL_004.basePlot.cfc","D07","ORNL","ORNL_004","distributed","vOIarzMvGliccYFTJ7MmlpQQcTmml1ahuUESrECJrG4=","2017-06-01T14:53Z","2017-06-01T19:00Z","2017-06-05T14:45Z","OK","vOIarzMvGliccYFTJ7MmlpQQcTmml1ahS3Y8dx2YirM=","vOIarzMvGliccYFTJ7MmlpQQcTmml1ah2QMtMQ0BEwE=","vOIarzMvGliccYFTJ7MmlpQQcTmml1ahsq5mvEFKexs=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"721abc3f-05af-4654-b5d2-b0b9be4a7eb6","ORNL_001.basePlot.cfc","D07","ORNL","ORNL_001","distributed","vOIarzMvGlhI3KzzmOhSn1P7I0gk79Zdv/KiM2o4WXE=","2017-06-01T17:15Z","2017-06-02T19:00Z","2017-06-05T13:44Z","OK","vOIarzMvGlhI3KzzmOhSn1P7I0gk79ZdehKhyj7e4mA=","vOIarzMvGlhI3KzzmOhSn1P7I0gk79Zd+xW4grBt52kCRTiKn1d7JA==","vOIarzMvGlhI3KzzmOhSn1P7I0gk79ZdK5b65mwAj70=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"a3e4140b-3f66-42ac-8abe-a69cd1ed82ac","ORNL_006.basePlot.cfc","D07","ORNL","ORNL_006","distributed","vOIarzMvGli8zNAdKFHvRKtJADwWciG9YR45iLylBIE=","2017-06-06T14:55Z","2017-06-08T16:00Z","2017-06-14T18:00Z","OK","vOIarzMvGli8zNAdKFHvRKtJADwWciG9wH01Nhw/9QM=","vOIarzMvGli8zNAdKFHvRKtJADwWciG9CIK2gSztgXXubMHWkshCrA==","vOIarzMvGli8zNAdKFHvRKtJADwWciG9VInzNGSSOmw=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"5ba22455-c70c-4398-8925-edbdfd56ca6f","ORNL_006.basePlot.cfc","D07","ORNL","ORNL_006","distributed","vOIarzMvGli8zNAdKFHvRPr36zWwFMXdxEbRy5r0v+8=","2017-06-06T14:56Z","2017-06-08T16:00Z","2017-06-14T17:15Z","OK","vOIarzMvGli8zNAdKFHvRPr36zWwFMXdrgsn3UjEEcM=","vOIarzMvGli8zNAdKFHvRPr36zWwFMXdEzs2KVvKh7J8pl51aQtbyg==","vOIarzMvGli8zNAdKFHvRPr36zWwFMXd4QRLRjre4RQ=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"d93a21b0-9b7c-4f6e-b47c-d6fb3700eff1","ORNL_006.basePlot.cfc","D07","ORNL","ORNL_006","distributed","vOIarzMvGlgbyQZJ28HP5qzgrVcFMU3SV4MetFO1iIk=","2017-06-06T14:58Z","2017-06-08T16:00Z","2017-06-14T17:24Z","OK","vOIarzMvGlgbyQZJ28HP5qzgrVcFMU3SBuPuXCuXhVY=","vOIarzMvGlgbyQZJ28HP5qzgrVcFMU3S2ed1D1bFayE=","vOIarzMvGlgbyQZJ28HP5qzgrVcFMU3S3F+ENjkYrRE=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"aadc5a36-9fca-4572-8193-3c3673311e9e","ORNL_008.basePlot.cfc","D07","ORNL","ORNL_008","distributed","vOIarzMvGliqMbQvpYpQYWdxE+5uHt8YjgaRl+yE8YA=","2017-06-06T15:05Z","2017-06-08T16:00Z","2017-06-14T18:20Z","OK","vOIarzMvGliqMbQvpYpQYWdxE+5uHt8YvB2IzDJonnQ=","vOIarzMvGliqMbQvpYpQYWdxE+5uHt8Y6CxEu/FuFk0=","vOIarzMvGliqMbQvpYpQYWdxE+5uHt8YFoVDpNISW54=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"7cebfe7d-d295-4757-8723-33214d9bde9c","ORNL_008.basePlot.cfc","D07","ORNL","ORNL_008","distributed","vOIarzMvGlgVh3zv/lSuIjrwCQvsfUmDWrp9RyrEnok=","2017-06-06T15:09Z","2017-06-08T16:00Z","2017-06-14T19:00Z","OK","vOIarzMvGlgVh3zv/lSuIjrwCQvsfUmDBjhHwcQV+4w=","vOIarzMvGlgVh3zv/lSuIjrwCQvsfUmDVORDB16Hc/Q=","vOIarzMvGlgVh3zv/lSuIjrwCQvsfUmDg59OTfCFxXI=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"5bb22bce-438c-4f9c-bb06-3ee2eae6aeac","ORNL_008.basePlot.cfc","D07","ORNL","ORNL_008","distributed","vOIarzMvGljGGYBt1c0XnJMuIn+DLfaCf9lHpfUtlkg=","2017-06-06T15:12Z","2017-06-08T16:00Z","2017-06-14T18:00Z","OK","vOIarzMvGljGGYBt1c0XnJMuIn+DLfaCRvApyhkmXTI=","vOIarzMvGljGGYBt1c0XnJMuIn+DLfaClR7Celpm0No=","vOIarzMvGljGGYBt1c0XnJMuIn+DLfaCzTIRbw1iGig=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"8f6d0f9d-f50e-4f97-bd15-533812da202f","ORNL_007.basePlot.cfc","D07","ORNL","ORNL_007","distributed","vOIarzMvGlhGRCWNBhhlUndOR4++kjo/RByppRh4nc8=","2017-06-06T15:41Z","2017-06-08T16:00Z","2017-06-14T19:20Z","OK","vOIarzMvGlhGRCWNBhhlUndOR4++kjo/J80x/o2I6Bk=","vOIarzMvGlhGRCWNBhhlUndOR4++kjo/fi37utrE5lQ=","vOIarzMvGlhGRCWNBhhlUndOR4++kjo/HZQ2V0gCGfo=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"03bbae5a-52b2-42e1-8fd1-5ce42e6c106b","ORNL_007.basePlot.cfc","D07","ORNL","ORNL_007","distributed","vOIarzMvGlgGYsjowt2fihK2TlKWC6gxYSqtpOQgn5E=","2017-06-06T15:42Z","2017-06-08T16:00Z","2017-06-14T18:00Z","OK","vOIarzMvGlgGYsjowt2fihK2TlKWC6gxKqUZv8T4cOI=","vOIarzMvGlgGYsjowt2fihK2TlKWC6gxicGrvZMizqw=","vOIarzMvGlgGYsjowt2fihK2TlKWC6gxuR1sZUt717Q=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
